Date,Apple,Berkshire,Boeing,Facebook,Ford,Google,McDonald,Tesla,WalMart,Yahoo
2017-02-06,132.119995,246000,166.229996,134.190002,12.51,834.849976,125.82,269.230011,68.019997,45.029999
2017-01-30,129.080002,245646,162.399994,130.979996,12.56,820.130005,124.239998,251.330002,66.5,43.709999
2017-01-23,121.949997,247000,167.699997,132.179993,12.49,845.030029,122.860001,252.949997,65.660004,44.419998
2017-01-17,120,240280,159.529999,127.040001,12.36,828.169983,122.260002,244.729996,67.18,42.049999
2017-01-09,119.040001,242500,158.830002,128.339996,12.63,830.940002,121.5,237.75,67.129997,42.27
2017-01-03,117.910004,245394,159.100006,123.410004,12.76,825.210022,120.760002,229.009995,68.260002,41.23
2016-12-27,115.82,244121,155.679993,115.050003,12.13,792.450012,121.720001,213.690002,69.120003,38.669998
2016-12-19,116.519997,248000,157.809998,117.269997,12.46,807.799988,123.139999,213.339996,69.540001,38.66
2016-12-12,115.970001,246405,154.5,119.870003,12.63,809.840027,123.239998,202.490005,70.980003,38.610001
2016-12-05,113.949997,247190,156.490005,119.68,13.17,809.450012,121.260002,192.179993,70.080002,41.759998
2016-11-28,109.900002,239070,152.25,115.400002,12.24,764.460022,118.239998,181.470001,70.879997,40.07
2016-11-21,111.790001,237085,150.039993,120.379997,12.04,780.22998,120.660004,196.649994,71.230003,40.869999
2016-11-14,110.059998,236391,146.350006,117.019997,11.76,775.969971,120,185.020004,68.540001,41.189999
2016-11-07,108.43,234860,148.520004,119.019997,12.28,771.75,114.220001,188.559998,71.230003,40.419998
2016-10-31,108.839996,214545,139.539993,120.75,11.34,781.099976,111.040001,190.559998,69.160004,40.279999
2016-10-24,113.720001,216200,143.009995,131.289993,11.72,819.559998,112.099998,199.970001,69.989998,41.779999
2016-10-17,116.599998,215600,135.630005,132.070007,12.02,824.059998,113.93,200.089996,68.339996,42.169998
2016-10-10,117.629997,216370,133.5,127.879997,11.91,804.599976,114.089996,196.509995,68.449997,41.439999
2016-10-03,114.059998,216640,133.850006,128.990005,12.29,800.710022,113.449997,196.610001,68.699997,43.220001
2016-09-26,113.050003,216220,131.740005,128.270004,12.07,804.059998,115.360001,204.029999,72.120003,43.099998
2016-09-19,112.709999,217750,131.779999,127.959999,12.17,814.960022,117.169998,207.449997,72.349998,42.799999
2016-09-12,114.919998,218400,126.699997,129.070007,12.11,797.969971,115.279999,205.399994,72.870003,43.669998
2016-09-06,103.129997,220110,128.529999,127.099998,12.38,788.47998,114.580002,194.470001,70.300003,42.919998
2016-08-29,107.730003,226050,131.160004,126.510002,12.5,796.869995,115.830002,197.779999,72.5,43.279999
2016-08-22,106.940002,222040,132.229996,124.959999,12.38,793.219971,114.440002,219.990005,71.139999,42.27
2016-08-15,109.360001,223040,134.440002,123.559998,12.39,799.650024,115.010002,225,72.809998,43.02
2016-08-08,108.18,221750,133.100006,124.879997,12.33,807.049988,119.519997,225.610001,73.889999,42.939999
2016-08-01,107.480003,218010,131.729996,125.150002,12.19,806.929993,119.209999,230.029999,73.760002,38.990002
2016-07-25,104.209999,216000,133.660004,123.940002,12.66,791.340027,117.650002,234.789993,72.970001,38.189999
2016-07-18,98.660004,216805,133.470001,121,13.84,759.280029,128.259995,222.270004,73.550003,39.380001
2016-07-11,98.779999,218990,132.389999,116.860001,13.57,735.630005,123.610001,220.399994,73.669998,37.720001
2016-07-05,96.68,214720,130.089996,117.239998,13.09,717.780029,121.309998,216.779999,73.839996,37.740002
2016-06-27,95.889999,216298,129.690002,114.190002,12.72,710.25,120.400002,216.5,72.809998,37.990002
2016-06-20,93.400002,209852,126.519997,112.080002,12.52,685.200012,119.440002,193.149994,71.959999,36.240002
2016-06-13,95.330002,211200,129.820007,113.019997,13.26,704.25,122.269997,215.470001,70.949997,36.939999
2016-06-06,98.830002,212622,131.139999,116.620003,13.1,733.190002,122.360001,218.789993,71.139999,36.830002
2016-05-31,97.919998,211615,127.379997,118.470001,13.04,735.859985,121.349998,218.990005,70.870003,36.599998
2016-05-23,100.349998,214303,129.220001,119.379997,13.45,747.599976,123.25,223.039993,70.75,37.82
2016-05-16,95.220001,212833,127.389999,117.349998,13.19,721.710022,122.559998,220.279999,69.860001,36.5
2016-05-09,90.519997,212140,132.119995,119.809998,13.22,724.830017,128.830002,207.610001,64.940002,36.48
2016-05-02,92.720001,217000,133.259995,119.489998,13.44,725.179993,130.580002,214.929993,68.25,37.23
2016-04-25,93.739998,219000,134.800003,117.580002,13.56,707.880005,126.489998,240.759995,66.870003,36.599998
2016-04-18,105.68,219038,131.050003,110.559998,13.61,737.77002,125.5,253.75,68.720001,37.48
2016-04-11,109.849998,215110,131.130005,109.639999,12.94,780,127.779999,254.509995,69.059998,36.509998
2016-04-04,108.660004,211705,127.879997,110.629997,12.55,759.469971,127.959999,250.070007,68.059998,36.07
2016-03-28,109.989998,215740,126.959999,116.059998,13.1,769.669983,127.019997,237.589996,69.059998,36.48
2016-03-21,105.669998,210530,132.119995,113.050003,13.06,754.840027,123.290001,227.75,68,34.860001
2016-03-14,105.919998,213330,133.960007,111.449997,13.64,755.409973,124.080002,232.740005,66.949997,35.169998
2016-03-07,102.260002,211600,124.629997,109.410004,13.29,744.869995,121.550003,207.5,67.169998,33.810001
2016-02-29,103.010002,207945,121.07,108.389999,13.59,730.219971,117.18,201.039993,66.779999,33.860001
